序号,时间s,累计体积ml,单个体积(每5s),平均单个体积(每5s),实际通量,,膜孔径,,,
0,0,0,0,0,0.055087099,,1.06,,,
1,5,0.87,0.87,0.87,0.045212996,,,,,
2,10,2.18,1.31,1.31,0.068079339,,,,,
3,15,3.37,1.19,1.122,0.058309174,,,,,
4,20,4.5,1.13,1.164,0.060491871,,,,,
5,25,5.61,1.11,1.11,0.057685547,,,,,
6,30,6.69,1.08,1.08,0.056126478,,,,,
7,35,7.73,1.04,1.058,0.054983161,,,,,
8,40,8.77,1.04,1.032,0.053631968,,,,,
9,45,9.79,1.02,0.998,0.051865023,,,,,
10,50,10.77,0.98,0.99,0.051449271,,,,,
11,55,11.68,0.91,0.966,0.050202016,,,,,
12,60,12.68,1,0.944,0.049058699,,,,,
13,65,13.6,0.92,0.928,0.048227196,,,,,
14,70,14.51,0.91,0.926,0.048123258,,,,,
15,75,15.41,0.9,0.9,0.046772065,,,,,
16,80,16.31,0.9,0.884,0.045940562,,,,,
17,85,17.18,0.87,0.876,0.04552481,,,,,
18,90,18.02,0.84,0.864,0.044901182,,,,,
19,95,18.89,0.87,0.852,0.044277555,,,,,
20,100,19.73,0.84,0.834,0.043342113,,,,,
21,105,20.57,0.84,0.826,0.042926362,,,,,
22,110,21.35,0.78,0.814,0.042302734,,,,,
23,115,22.15,0.8,0.804,0.041783045,,,,,
24,120,22.96,0.81,0.796,0.041367293,,,,,
25,125,23.75,0.79,0.802,0.041679107,,,,,
26,130,24.55,0.8,0.788,0.040951541,,,,,
27,135,25.36,0.81,0.78,0.04053579,,,,,
28,140,26.09,0.73,0.772,0.040120038,,,,,
29,145,26.86,0.77,0.764,0.039704286,,,,,
30,150,27.61,0.75,0.746,0.038768845,,,,,
31,155,28.37,0.76,0.754,0.039184597,,,,,
32,160,29.09,0.72,0.742,0.038560969,,,,,
33,165,29.86,0.77,0.738,0.038353093,,,,,
34,170,30.57,0.71,0.734,0.038145217,,,,,
35,175,31.3,0.73,0.73,0.037937342,,,,,
36,180,32.04,0.74,0.718,0.037313714,,,,,
37,185,32.74,0.7,0.706,0.036690086,,,,,
38,190,33.45,0.71,0.706,0.036690086,,,,,
39,195,34.1,0.65,0.698,0.036274335,,,,,
40,200,34.83,0.73,0.696,0.036170397,,,,,
41,205,35.53,0.7,0.69,0.035858583,,,,,
42,210,36.22,0.69,0.69,0.035858583,,,,,
43,215,36.9,0.68,0.678,0.035234956,,,,,
44,220,37.55,0.65,0.67,0.034819204,,,,,
45,225,38.22,0.67,0.672,0.034923142,,,,,
46,230,38.88,0.66,0.67,0.034819204,,,,,
47,235,39.58,0.7,0.668,0.034715266,,,,,
48,240,40.25,0.67,0.664,0.03450739,,,,,
49,245,40.89,0.64,0.662,0.034403452,,,,,
50,250,41.54,0.65,0.646,0.033571949,,,,,
51,255,42.19,0.65,0.642,0.033364073,,,,,
52,260,42.81,0.62,0.636,0.033052259,,,,,
53,265,43.46,0.65,0.64,0.033260135,,,,,
54,270,44.07,0.61,0.632,0.032844383,,,,,
55,275,44.74,0.67,0.638,0.033156197,,,,,
56,280,45.35,0.61,0.624,0.032428632,,,,,
57,285,46,0.65,0.628,0.032636508,,,,,
58,290,46.58,0.58,0.614,0.031908942,,,,,
